#
# f1 and f2
#
#
# f1	f2
0.357493	0.577401
-0.03177	-0.45572
-0.29142	-0.85779
0.701867	0.888077
-0.29408	-0.77744
-0.21278	-0.81156
0.367172	0.726864
-0.13226	-0.56328
-0.08299	0.084485
0.180711	0.278229
0.270070	0.422796
0.270139	0.453270
-0.22009	-0.68217
-0.29191	-0.77933
0.902455	0.997985
0.339901	0.673179
-0.13760	-0.51069
0.219108	0.351144
0.054521	-0.20722
-0.08909	-0.21387
0.415691	0.725877
0.282259	0.307137
0.202446	0.481601
0.682574	0.913141
-0.09876	-0.68071
0.773063	0.988450
-0.25042	-0.79274
-0.09932	-0.44325
0.172398	0.567007
0.526522	0.907938
0.411710	0.325084
-0.08856	-0.51997
0.690468	0.832498
0.595469	0.866956
0.423813	0.731827
-0.31226	-0.71525
0.346194	0.629642
0.785453	0.935534
-0.40192	-0.89357
-0.38433	-0.87635
0.185786	0.448945
-0.12651	-0.55956
-0.25520	-0.87945
-0.10012	-0.06876
0.229086	0.323566
-0.03278	0.045622
-0.26914	-0.81401
1.000000	1.000000
0.106241	-0.23302
1.000000	1.000000
0.433721	0.730525
-0.11819	-0.48636
-0.45932	-0.68292
0.331171	0.788216
0.785328	0.965066
0.228787	0.294715
0.155216	0.007401
-0.16966	-0.71653
-0.18965	-0.67564
-0.03664	-0.18182
0.183289	0.304330
0.209333	0.100175
0.009472	0.152448
0.132584	0.407154
-0.27760	-0.77896
0.247665	-0.09152
0.291490	0.528642
-0.09503	-0.34155
0.593555	0.959676
0.110881	0.437681
0.213129	0.461309
0.643956	0.915532
0.367983	0.686690
0.721152	0.935480
0.067637	-0.62795
0.031243	-0.20915
0.849922	0.994408
0.242795	0.495888
-0.02987	-0.22092
0.392473	0.718070
0.270626	0.083313
-0.04323	-0.35153
-0.31425	-0.81783
-0.19530	-0.18953
-0.07627	-0.65586
0.636937	0.963613
0.360361	0.564577
0.178983	-0.12587
0.508443	0.874946
0.325187	0.687509
0.088977	-0.13127
0.322562	0.582899
-0.22159	-0.82521
0.056935	-0.44365
-0.22259	-0.66667
-0.19556	-0.64951
0.498908	0.871793
-0.12013	-0.46948
0.848934	0.976092
0.679213	0.891195
0.407058	0.782706
-0.10274	-0.25207
0.339060	0.497130
0.378396	0.644896
-0.28011	-0.83072
0.380565	0.436618
-0.01486	-0.49440
-0.12739	-0.35367
1.000000	1.000000
