#
# Gaussian-cosines vs MI
#
#
# goe	mi
0.300882	0.088691
0.743035	0.842477
-0.20021	-3.66260
-0.19809	-4.88884
0.265633	1.903610
-0.25097	-4.15863
-0.09463	-0.25596
-0.08007	-0.87854
0.084971	-2.19420
0.174677	-0.81625
0.391986	-0.73959
0.536188	-0.25329
-0.12857	-1.67732
-0.06093	0.639397
-0.06606	-0.57960
-0.23592	-2.00895
0.614046	0.802829
0.267033	0.807917
0.019986	0.132897
0.490465	-0.14570
0.028896	0.399138
0.108106	-0.07721
-0.22112	-3.30593
0.700551	2.105038
0.642246	0.377783
0.362211	0.629574
0.565170	-0.33934
0.301562	-3.41616
0.522567	1.003729
0.418893	0.901312
0.608814	1.043990
-0.16397	-0.92940
0.477691	0.199491
0.260167	0.700479
0.337435	1.308950
0.586370	2.324485
0.654739	-0.06669
-0.04239	-0.51220
0.466791	0.939826
0.448668	2.054450
0.485523	0.583122
0.505797	-0.40877
0.613541	-0.10389
0.265642	-0.28044
-0.09574	-0.60279
0.384236	0.705157
0.723608	1.742206
0.174028	-0.32143
0.822183	2.261884
0.073862	0.841053
0.361717	-0.40435
0.190841	-0.13321
0.183135	0.199049
0.635618	0.763467
0.054234	0.186032
0.574788	-0.21100
0.488570	0.238024
0.626759	0.848328
0.495781	0.243132
0.570978	0.774921
0.375412	1.435062
0.556625	0.699604
0.551043	1.020312
0.338966	0.563551
-0.17267	-4.31719
0.484583	0.838223
0.195216	-2.53177
0.158152	-2.53849
0.326047	0.701930
0.218793	-0.00012
0.095323	-2.21726
0.237015	-5.45274
0.226929	-2.51863
0.285178	-0.55963
0.245262	-0.87612
0.110968	0.654099
0.712118	1.639065
0.063403	-3.44171
0.276340	-2.18452
0.176477	-6.96517
-0.06261	-7.33562
0.212263	-2.71161
0.056280	0.056735
0.201998	-3.59374
0.067784	-5.14799
0.202192	-4.38957
0.432385	-0.73003
0.380990	0.080983
0.422514	1.886422
0.207421	-4.16889
0.387321	1.942195
-0.08293	-8.88152
0.024919	-6.41636
0.479605	-1.26725
0.436312	-0.12642
0.270221	-0.60672
0.261953	0.647087
0.287132	  -inf.0
-0.20312	-1.32430
0.729960	-0.50317
0.290457	-0.16464
0.643588	1.348950
0.761057	1.830436
0.751318	1.616533
-0.30262	-2.81161
-0.26580	-1.52748
0.830615	1.616735
0.730565	0.485659
-0.13183	-1.27527
-0.18307	-2.61392
0.351549	0.285292
0.403599	0.455964
0.552617	-0.00491
0.647566	2.399738
-0.24588	-1.86529
0.695844	-0.47143
0.717378	1.519588
0.709472	1.777743
0.776800	1.210979
0.279226	-3.60188
0.682493	1.574015
0.187033	-3.25961
0.454119	-0.97865
-0.05225	-9.58609
1.000000	4.327361
0.724142	1.475466
-0.18746	-2.01989
0.309141	-1.01825
-0.29105	-1.58844
0.424670	-0.62924
0.035821	-3.26588
0.596868	-1.95839
0.486727	-3.18970
0.440693	-12.4657
0.663612	-0.49831
0.731793	0.331768
0.744009	4.614235
0.585442	0.137718
0.708550	0.731943
0.774356	0.382727
0.761067	0.046481
0.821080	1.223887
0.850248	3.649988
0.405880	0.073389
-0.07061	-2.17176
0.492056	-1.89797
-0.06293	-3.20208
0.338076	-0.42851
0.734136	2.034622
-0.32574	-2.85065
0.226341	1.016975
0.555506	0.745595
0.824865	1.201896
0.696345	0.633949
-0.10648	-3.06534
0.711974	-0.16784
0.617482	0.050366
0.300891	-1.92403
0.607689	-0.04582
0.666842	-0.19454
-0.41682	-4.66201
0.430395	-0.27554
-0.32365	-5.11941
-0.34080	-3.98386
0.639805	-0.58210
0.452922	0.295389
0.058264	-1.04756
0.449497	-1.40719
0.567599	-2.55779
0.372438	-0.42563
0.793853	0.088235
-0.25132	-2.61887
0.179885	-1.30152
-0.28345	-4.66046
-0.07143	-1.20176
0.836234	5.521153
-0.34777	-2.99629
0.142335	-1.77134
0.893276	5.187733
-0.32292	-2.85133
-0.19864	-2.90102
0.451686	-0.52559
-0.35969	-3.90051
-0.41258	-3.24475
-0.42872	-4.61237
0.557229	-0.17549
0.546521	0.278813
0.765115	3.384506
0.813762	0.447972
0.819408	0.640629
-0.42523	-4.93772
0.131400	-1.73091
0.087175	-1.78724
0.842678	0.496426
0.806638	1.452276
-0.30236	-3.43699
0.131366	-1.60125
0.634040	1.885583
0.741377	-0.31227
-0.33556	-2.90028
0.227433	-1.80619
-0.11866	-4.89024
0.337259	-0.00541
-0.03212	-3.63684
0.749156	1.838137
