#
# MI and Cosines
#
#
# mi	rmi	cos-mi	cos-rmi
-4.38992	-1.24850	0.023375	-0.29473
-6.15551	-3.64621	-0.33865	-0.44621
-4.94599	-2.03546	-0.35592	-0.48224
-5.83309	-2.45819	-0.13445	-0.37925
-3.81622	-1.98133	-0.26278	-0.24240
-6.63065	-3.60784	-0.40044	-0.51691
-4.39917	-1.49269	0.114271	-0.15161
-3.13525	-1.70442	0.365337	0.314902
-4.04828	-0.49176	0.180839	-0.24627
-5.16467	-3.79197	0.470204	0.314832
-5.81204	-2.58738	-0.29241	-0.49919
-0.44240	2.197225	0.268860	-0.04905
-2.44362	1.624280	0.584018	0.198753
-4.00428	-1.63849	0.467703	0.271639
-8.24973	-5.32262	-0.46537	-0.56265
-4.56704	-2.18567	-0.18579	-0.32913
-5.90929	-3.53505	-0.37226	-0.41803
-1.54031	1.523716	0.400395	0.016448
-8.37203	-5.49898	-0.41652	-0.53973
-2.99301	-1.46944	0.444629	0.375418
-4.09168	-1.52580	0.199765	-0.01754
-4.93455	-2.41247	-0.31630	-0.38103
-4.35800	-1.88869	0.423283	0.164246
-5.61698	-3.48454	-0.40684	-0.42929
-5.82519	-3.54112	-0.27662	-0.38852
-8.74596	-6.68850	0.179112	-0.02931
-3.22314	-1.44808	0.424506	0.309526
-6.88037	-3.95320	-0.27037	-0.41874
-3.26691	-1.53020	-0.24485	-0.24794
-2.64439	0.620226	0.392888	0.049714
1.545702	2.414282	0.744800	0.731769
-0.25696	2.772617	0.544689	0.390229
-0.27561	2.123161	0.583722	0.458522
-1.87774	0.628734	0.282911	0.148316
0.775578	3.631725	0.815577	0.712040
-0.99106	3.518780	0.695757	0.326091
1.914765	1.287031	0.005118	0.139299
1.058204	4.294278	0.735953	0.498171
-0.26192	2.838505	0.861059	0.750681
-5.24542	-2.68626	0.569541	0.418955
-2.15470	1.109557	0.617669	0.427074
1.534192	2.691628	0.232244	0.069153
0.096087	4.452604	0.337535	-0.05412
1.636790	3.685255	0.316210	0.404374
-0.39498	-0.54694	0.407804	0.329701
-1.49060	-0.08872	0.463473	0.454270
-0.87933	0.394329	0.390696	0.409175
-0.41910	1.020737	0.487997	0.493572
0.353804	1.283747	0.494729	0.499803
0.523016	2.458916	0.551862	0.548339
0.860564	1.820769	0.520926	0.517824
1.065059	2.248360	0.532011	0.555875
-0.74737	1.081781	0.460845	0.451694
-1.56243	0.064200	-0.13220	0.080727
-0.23578	2.224811	0.505162	0.483592
